City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Brigantine,US,77.04,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
422,Correntina,BR,85.89,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
425,Guhagar,IN,78.67,heavy intensity rain,17.4842,73.1929,Hotel Seawinds
426,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
429,Bagru,IN,79.14,broken clouds,26.8088,75.5423,Nandan Green Housed Limited
430,Clarksburg,US,75.88,overcast clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
435,Eydhafushi,MV,81.14,overcast clouds,5.1033,73.0708,Soneva Fushi
438,Riohacha,CO,89.71,broken clouds,11.5444,-72.9072,Hotel Taroa
446,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
447,Peque,CO,76.71,broken clouds,7.0212,-75.9093,Hotel Rodizzio
449,Zhob,PK,76.53,broken clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
450,Itaberaba,BR,81.12,overcast clouds,-12.5275,-40.3069,Araújo Hotel
453,Bulungu,CD,82.36,scattered clouds,-4.55,18.6,Maison MC Michel
456,Jeremie,HT,86.7,clear sky,18.65,-74.1167,Auberge’Inn
458,Kribi,CM,75.96,light rain,2.95,9.9167,Hotel Tara Plage
459,Port Said,EG,82.38,clear sky,31.2565,32.2841,Aracan Hotel
465,Mahmudabad,IN,86.63,overcast clouds,27.3,81.1167,"Haider Services, Baitul Anwar"
470,Hamilton,US,76.08,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
472,Progreso,MX,85.95,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
474,San Pedro,PH,79.36,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
479,Thiruvananthapuram,IN,82.38,mist,8.4833,76.9167,Hotel Residency Tower
480,Immokalee,US,85.95,light rain,26.4187,-81.4173,Seminole Casino Hotel Immokalee
484,Kishni,IN,87.04,scattered clouds,27.0247,79.2634,श्री आंनद ग्रुप
487,Odweyne,SO,77.4,overcast clouds,9.4092,45.064,Eng Hiirey House
495,Buchanan,LR,75.65,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
497,Atasu,KZ,79.88,scattered clouds,48.6814,71.6433,Dostyk
498,Aksu,CN,86.79,clear sky,41.1231,80.2644,Pudong Holiday Hotel
500,Tabou,CI,75.72,overcast clouds,4.423,-7.3528,hotêl doufoulougou
503,Sitapur,IN,86.13,overcast clouds,27.5667,80.6833,Collection O 64556 Nimisha Jail Rd
507,Umuarama,BR,83.32,clear sky,-23.7664,-53.325,Hotel Caiuá
510,Les Cayes,HT,86.49,few clouds,18.2,-73.75,Villa Orphee
512,Belmonte,BR,76.01,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
518,Salinopolis,BR,80.31,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
526,Artyom,AZ,75.34,clear sky,40.4723,50.333,Pir hos
527,Mormugao,IN,78.06,light rain,15.4,73.8,Coconut Creek Resort
528,Rio Claro,BR,83.53,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
530,Itabera,BR,79.16,clear sky,-23.8619,-49.1372,Rancho das Pedras Hotel Itaberá
533,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
536,Igarapava,BR,85.12,clear sky,-20.0383,-47.7469,Ângelo Palace Hotel Igarapava
537,Villeneuve-Sur-Lot,FR,75.25,clear sky,44.5,0.6667,Le Domaine De Beunes
542,Santiago Del Estero,AR,89.02,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
544,Hastinapur,IN,85.53,overcast clouds,29.1667,78.0167,OYO 88468 Y S Hotel & Restaurant
546,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
547,Francisco Beltrao,BR,76.48,clear sky,-26.0811,-53.055,Cristal Palace Hotel
551,Emborion,GR,79.3,broken clouds,40.4833,21.55,Villa Kastanodasos
554,Tela,HN,80.51,overcast clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
555,Thunder Bay,CA,75.11,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
