City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Rio Grande,BR,-32.035,-52.0986,71.71,85,82,9.8,broken clouds
181,Ketou,BJ,7.3633,2.5998,74.52,96,97,4.41,overcast clouds
182,Kemijarvi,FI,66.7131,27.4306,62.4,94,100,14.45,overcast clouds
183,Tanout,NE,14.9709,8.8879,97.57,13,22,6.38,few clouds
184,Salmas,IR,38.1973,44.7653,72.1,36,0,1.16,clear sky
185,Bonthe,SL,7.5264,-12.505,77.04,79,75,7.63,broken clouds
186,Almunecar,ES,36.7339,-3.6907,87.13,80,0,1.25,clear sky
187,Trairi,BR,-3.2778,-39.2689,81.07,62,97,11.99,overcast clouds
188,Hofn,IS,64.2539,-15.2082,50.16,90,99,2.89,overcast clouds
189,La Palma,US,33.8464,-118.0467,92.97,66,40,8.01,scattered clouds
190,Rena,NO,61.1348,11.3641,54.25,94,100,4.54,overcast clouds
191,Dakar,SN,14.6937,-17.4441,86.13,74,40,18.41,scattered clouds
192,Georgetown,MY,5.4112,100.3354,82.89,90,20,2.3,few clouds
193,Cidreira,BR,-30.1811,-50.2056,64.15,86,13,12.26,few clouds
194,Qaqortoq,GL,60.7167,-46.0333,47.46,84,47,5.1,scattered clouds
195,Eirunepe,BR,-6.6603,-69.8736,92.8,39,77,2.51,broken clouds
196,Turbat,PK,26.0023,63.044,81.75,82,66,8.61,broken clouds
197,Saint Anthony,US,45.0205,-93.218,79.66,64,100,9.22,overcast clouds
198,Rosario,AR,-32.9468,-60.6393,84.11,51,0,9.22,clear sky
199,Oussouye,SN,12.485,-16.5469,87.98,76,62,8.99,broken clouds
200,Caravelas,BR,-17.7125,-39.2481,75.13,68,1,7.34,clear sky
201,Sakakah,SA,29.9697,40.2064,98.17,12,0,13.67,clear sky
202,Kautokeino,NO,69.0125,23.0412,58.51,92,100,2.24,overcast clouds
203,Oranjestad,AW,12.524,-70.027,87.75,70,20,17.27,few clouds
204,Cherepanovo,RU,54.2222,83.381,58.71,73,0,5.57,clear sky
205,Malanje,AO,-9.5402,16.341,70.86,20,66,4.05,broken clouds
206,Adrar,MR,20.5022,-10.0711,105.49,13,99,17.83,overcast clouds
207,Coihaique,CL,-45.5752,-72.0662,34.41,80,100,6.91,overcast clouds
208,Kailahun,SL,8.2833,-10.5667,72.59,94,18,1.79,light rain
209,Porto Novo,BJ,6.4965,2.6036,78.62,85,100,10.18,overcast clouds
210,San Juan,AR,-31.5375,-68.5364,62.53,62,59,12.77,broken clouds
211,Barra Do Bugres,BR,-15.0725,-57.1811,98.65,17,45,2.33,scattered clouds
212,Chirongui,YT,-12.9319,45.1483,75.13,64,2,8.39,clear sky
213,Cuca,RO,45.7333,27.8833,77.65,33,0,7.36,clear sky
214,Touros,BR,-5.1989,-35.4608,79.83,69,93,15.73,overcast clouds
215,Trincomalee,LK,8.5711,81.2335,82.02,76,95,4.05,overcast clouds
216,Kendallville,US,41.4414,-85.265,78.66,60,100,5.23,overcast clouds
217,Tessalit,ML,20.1986,1.0114,101.97,8,69,2.86,broken clouds
218,Bayir,TR,37.2687,28.2167,77.52,37,0,1.61,clear sky
219,Vardo,NO,70.3705,31.1107,57.18,94,75,6.91,broken clouds
220,Soubre,CI,5.7856,-6.6083,73.89,89,100,6.26,light rain
221,Ostersund,SE,63.1792,14.6357,58.6,82,100,17.27,overcast clouds
222,Ancud,CL,-41.8697,-73.8203,53.22,84,83,8.72,moderate rain
223,Atbasar,KZ,51.8,68.3333,73.49,40,100,15.05,overcast clouds
224,Abalak,RU,58.1286,68.5944,58.78,75,94,7.52,overcast clouds
225,Polyanka,UA,50.2584,27.6881,65.41,63,53,5.75,broken clouds
226,Vestmannaeyjar,IS,63.4427,-20.2734,52.16,95,100,18.92,moderate rain
227,Xuddur,SO,4.1213,43.8894,74.28,65,6,23.33,clear sky
228,Reconquista,AR,-29.15,-59.65,81.77,49,93,8.81,overcast clouds
229,Saint George,US,37.1041,-113.5841,86.79,53,0,3.0,clear sky
230,Varna,BG,43.2167,27.9167,76.87,77,0,6.91,clear sky
231,Turukhansk,RU,65.8167,87.9833,53.38,85,0,3.56,clear sky
232,Demyansk,RU,57.643,32.466,66.02,79,37,4.32,scattered clouds
233,Arari,BR,-3.4536,-44.78,91.51,36,22,3.65,few clouds
234,Riyadh,SA,24.6877,46.7219,98.74,12,99,10.07,overcast clouds
235,Ladyzhyn,UA,48.685,29.2368,69.85,45,6,6.55,clear sky
236,Mustasaari,FI,63.1142,21.6822,62.55,88,0,9.22,clear sky
237,Lisakovsk,KZ,52.5369,62.4936,64.72,84,98,13.94,light rain
