City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Santa Cecilia,BR,2022-05-08 10:24:47,-26.9608,-50.4269,40.87,99,37,2.48
158,San Alberto,CO,2022-05-08 10:24:47,7.7611,-73.3922,74.71,90,100,3.53
159,Clyde River,CA,2022-05-08 10:24:48,70.4692,-68.5914,10.63,92,100,4.61
160,Gat,IL,2022-05-08 10:24:49,31.61,34.7642,79.79,30,22,8.37
161,Nanortalik,GL,2022-05-08 10:24:50,60.1432,-45.2371,36.66,87,100,3.42
162,Kousseri,CM,2022-05-08 10:24:50,12.0769,15.0306,103.1,23,91,1.95
163,Atar,MR,2022-05-08 10:24:51,20.5169,-13.0499,98.91,9,100,6.96
164,Klaksvik,FO,2022-05-08 10:24:52,62.2266,-6.589,49.12,92,100,22.17
165,Menongue,AO,2022-05-08 10:21:12,-14.6585,17.691,82.74,38,25,1.28
166,Marsa Matruh,EG,2022-05-08 10:24:53,31.3525,27.2453,80.8,36,40,10.36
167,Macherla,IN,2022-05-08 10:24:53,16.4833,79.4333,104.9,23,25,8.63
168,Belmonte,BR,2022-05-08 10:24:54,-15.8631,-38.8828,74.41,90,95,6.87
169,Algeciras,ES,2022-05-08 10:24:26,36.1333,-5.4505,65.88,72,20,6.91
170,Yar-Sale,RU,2022-05-08 10:24:55,66.8333,70.8333,34.14,100,100,13.82
171,Queimadas,BR,2022-05-08 10:24:56,-10.9783,-39.6264,69.75,89,95,5.84
172,Bengkulu,ID,2022-05-08 10:24:57,-3.8004,102.2655,84.43,70,93,5.7
173,Varniai,LT,2022-05-08 10:24:59,55.7406,22.3644,53.38,48,100,7.87
174,Khorixas,NA,2022-05-08 10:24:59,-20.3667,14.9667,80.6,19,0,4.45
175,Lafia,NG,2022-05-08 10:26:00,8.4833,8.5167,91.02,54,100,4.83
176,Hoshcha,UA,2022-05-08 10:26:01,50.6003,26.6744,66.85,46,88,4.5
177,Itarema,BR,2022-05-08 10:26:02,-2.9248,-39.9167,76.8,90,95,10.38
178,Bayir,TR,2022-05-08 10:26:02,37.2687,28.2167,72.12,24,15,5.79
179,Naron,ES,2022-05-08 10:26:03,43.5167,-8.1528,73.56,48,44,5.5
180,Saint-Augustin,CA,2022-05-08 10:26:04,51.226,-58.6502,31.12,74,12,9.57
181,Mpika,ZM,2022-05-08 10:26:04,-11.8343,31.4529,74.39,52,95,7.34
182,Idlib,SY,2022-05-08 10:26:05,35.9306,36.6339,72.0,33,1,8.9
183,Ullapool,GB,2022-05-08 10:26:06,57.8987,-5.1604,60.35,57,94,6.29
184,Havre-Saint-Pierre,CA,2022-05-08 10:26:06,50.2334,-63.5986,33.8,64,0,6.91
185,Biltine,TD,2022-05-08 10:26:07,14.5333,20.9167,105.75,5,12,10.29
186,Narsaq,GL,2022-05-08 10:26:08,60.9167,-46.05,52.02,67,100,3.56
187,Cockburn Town,TC,2022-05-08 10:26:09,21.4612,-71.1419,79.43,79,2,8.1
188,Savannah Bight,HN,2022-05-08 10:26:10,16.45,-85.85,81.81,83,87,17.34
189,Karakol,KG,2022-05-08 10:26:10,42.4907,78.3936,66.7,48,0,6.51
190,Antofagasta,CL,2022-05-08 10:26:11,-23.65,-70.4,60.08,85,48,2.1
191,Alto Araguaia,BR,2022-05-08 10:26:12,-17.3147,-53.2153,57.6,68,0,2.75
192,Altay,CN,2022-05-08 10:26:12,47.8667,88.1167,60.42,44,20,15.73
193,Luwingu,ZM,2022-05-08 10:26:13,-10.2621,29.9271,77.59,50,79,6.53
194,Souillac,MU,2022-05-08 10:26:14,-20.5167,57.5167,80.98,74,40,12.66
195,San Ramon,US,2022-05-08 10:21:34,37.7799,-121.978,50.83,69,0,9.22
